ID	incorr_sentence	corr_sentence	word count	wrong1	correct1	wrong2	correct2	wrong3	correct3	wrong4	correct4	wrong5	correct5	wrong6	correct6	src
43	Let’s sit down ASAP.	Let us sit down as soon as possible.	8	Wtone	0,2|||Let us	Wa	4,5|||as soon as possible									https://www.livecareer.com/cover-letter/examples/accounting/internal-auditor
44	After reading the listing in The Daily News I seen a great chance to grow in my field and works for an organization that deserve its high regard.	After reading the listing in The Daily News I saw a great chance to grow in my field and work for an organization that deserves its high regard.	28	Vform	9,10|||saw	SVA	19,20|||work	SVA	24,25|||deserves							https://www.livecareer.com/cover-letter/examples/accounting/internal-auditor
45	Undeniable, it becomes addictive when we spend more time socializing virtually.	It is undeniable that it becomes addictive when we spend more time socializing virtually.	14	Smod	0,2|||It is undeniable that 											https://www.comp.nus.edu.sg/~nlp/conll14st/CoNLLST01.pdf
46	When six years old, my mother died.	When six years old, I lost my mother.	8	Smod	5,8|||I lost my mother											https://www.trentu.ca/academicskills/how-guides/how-edit-your-writing/grammar-and-style/misplaced-squinting-and-dangling-modifiers
47	Dhis include assisting all internal teams, performing research on all products and evaluate the packing requirements in the development phase of all product.	This includes assisting all internal teams, performing research on all products and evaluating the packing requirements in the development phase of all products.	23	Mec	0,1|||This	SVA	1,2|||includes	Spar	13,14|||evaluating	Nn	23,24|||products					https://www.greatsampleresume.com/cover-letters/packaging-cover-letter/
48	There was never a issue with me providing technique support to all engineering staff members and to provide support to an manufacturing and implementation processes of product packaging.	There was never an issue with me providing technical support to all engineering staff members and to provide support to the manufacturing and implementation processes of product packaging.	28	ArtOrDe	3,4|||an	Wci	8,9|||technical	ArtOrDe	20,21|||the							https://www.greatsampleresume.com/cover-letters/packaging-cover-letter//
49	With my strong computer skills, I am also able to document all engineering protocol, develop all engineering and manufacturing specification and ensure compliance with all FDA and ISO regulations.	With my strong computer skills, I am also able to document all engineering protocols, develop all engineering and manufacturing specification and ensure compliance with all FDA and ISO regulations.	29	Nn	14,15|||protocols											https://www.greatsampleresume.com/cover-letters/packaging-cover-letter/
50	I look towards to hearing from you.	I look forward to hearing from you.	7	Wci	2,3|||forward		5,6|||from									https://www.greatsampleresume.com/cover-letters/packaging-cover-letter/
51	Through my experiences, I have become adept at maintaining inventories while facilitating streamlined shipping operations and maximizing the accuracy and the efficiency.	Through my experience, I have become adept at maintaining inventories while facilitating streamlined shipping operations and maximizing accuracy and efficiency.	20	Nn	2,3|||experience	ArtOrDe	18,19|||	ArtOrDe	21,22|||							https://www.jobhero.com/pick-packer-cover-letter/
52	My proven ability to optimize packing efficiency and success, along with my commitment to ensuring a outstanding level of custom service and satisfaction, will contributed immensely to success of your distribution center.	My proven ability to optimize packing efficiency and success, along with my commitment to ensuring an outstanding level of customer service and satisfaction, will contribute immensely to the success of your distribution center.	33	ArtOrDe	16,17|||an	Wci	20,21|||customer	Vt	26,27|||contribute	ArtOrDe	29,29|||the					https://www.jobhero.com/pick-packer-cover-letter//
53	I thoroughly enjoy working in type of environment and pride myself on responding fast to all patient needs with empathy and professionalism.	I thoroughly enjoy working in this type of environment and pride myself on responding quickly to all patient needs with empathy and professionalism.	23	Pref	5,5|||this	Wci	13,14|||quickly									https://www.best-job-interview.com/medical-receptionist-cover-letter.html
54	I can work on several tasks at one without confusion.	I can work on several tasks at once without confusion.	10	Wci	7,8|||once											https://www.myperfectresume.com/cover-letter/examples/healthcare-support/medical-receptionist
55	At my previous job, I consistently provide exemplary service to a wide varies of hospital patients in the several different department.	At my previous job, I consistently provided exemplary service to a wide variety of hospital patients in several different departments.	20	Vt	7,8|||provided	Wci	13,14|||variety	ArtOrDe	18,19|||	Nn	21,22|||departments					https://www.myperfectresume.com/cover-letter/examples/healthcare-support/medical-receptionist
56	Your school emphasizes their unique position as school that caters to both inner-city and suburban students, so I have a thought that my varied experiences would make me an asset to your program.	Your school emphasizes its unique position as a school that caters to both inner-city and suburban students, so I think my varied experiences would make me an asset to your program.	31	Pref	3,4|||its	ArtOrDe	7,7|||a	Rloc−	19,23|||think							https://www.thebalancecareers.com/cover-letter-sample-for-a-teaching-job-2060203
57	Your school also strives to engage students in the larger size of community.	Your school also strives to engage students in the larger community.	11	Rloc−	10,12|||											https://www.thebalancecareers.com/cover-letter-sample-for-a-teaching-job-20602033
58	It is my goal to combine my range of experience with my ability to be compassionate, enthusiastic, intelligent teacher who will make a positive contribution to your school district and larger size of community.	It is my goal to combine my range of experience with my ability to be a compassionate, enthusiastic, intelligent teacher who will make a positive contribution to your school district and larger community.	33	ArtOrDe	15,15|||a	Rloc−	33,35|||									https://www.thebalancecareers.com/cover-letter-sample-for-a-teaching-job-206020333
59	I have hand on experience in teaching IGCSE Mathematics, HKDSE Mathematics Extended Module 1 and Module 2, A-level mathematics, and IB Mathematics.	I have hands on experience in teaching IGCSE Mathematics, HKDSE Mathematics Extended Module 1 and Module 2, A-level mathematics, and IB Mathematics.	22	Wci	2,3|||hands											https://hk.jobsdb.com/en-hk/articles/cover-letter-sample-writing-tips-teacher/
60	Combined with my commitment and passion for education and Maths, I worked in collaboration with colleagues in Mathematics department to carry out research and build curriculum. 	Combined with my commitment and passion for education and Mathematics, I worked in collaboration with colleagues in the Mathematics department to carry out research and develop curriculum. 	27	Wa	9,10|||Mathematics	ArtOrDe	18,18|||the	Wci	25,26|||develop							https://hk.jobsdb.com/en-hk/articles/cover-letter-sample-writing-tips-teacher//
61	My resume is attach for your perusal.	My resume is attached for your perusal.	7	Vform	3,4|||attached											https://hk.jobsdb.com/en-hk/articles/cover-letter-sample-writing-tips-teacher//
62	Classroom management, personalized learning programs, and innovative educational techniques is just a little of the areas I excel.	Classroom management, personalized learning programs, and innovative educational techniques are just a few of the areas in which I excel.	20	SVA	11,12|||are	Wci	14,15|||few	Ssub	18,18|||in which							https://www.jobhero.com/teacher-cover-letter/
63	Highlights of my qualifications included: creating and implementing hands-on educational activities and programs to facilitate a fun, personalized approach to education stimulating students’ enjoyment and appreciation for learning.	Highlights of my qualifications include: creating and implementing hands-on educational activities and programs to facilitate a fun, personalized approach to education while stimulating students’ enjoyment and appreciation for learning.	29	Vt	4,5|||include:	Trans	22,22|||while									https://www.jobhero.com/teacher-cover-letter//
64	I am poised, confident and am crediable when I make the sale calls and can increase the trust of current clients or potential customers.	I am poised, confident and am credible when I make the sales calls and can gain the trust of current clients or potential customers.	24	Mec	7,8|||credible	Nn	12,13|||sales	Wci	16,17|||gain							https://www.greatsampleresume.com/cover-letters/sales-and-marketing-executive-cover-letter/
65	I am able to prepare and coordinate sales teams to ensure full production during each cycles and I might put together solid methodology.	I am able to prepare and coordinate sales teams to ensure full production during each cycle and I can put together a solid methodology.	24	Nn	15,16|||cycle	Vm	18,19|||can	ArtOrDe	21,21|||a							https://www.greatsampleresume.com/cover-letters/sales-and-marketing-executive-cover-letter/
66	When necessary, I can implement changes to ensure all current trends are followed to target those potential customers through a use of relevant data.	When necessary, I can implement changes to ensure that all current trends are followed to target those potential customers through the use of relevant data.	25	Ssub	9,9|||that	ArtOrDe	20,21|||the									https://www.greatsampleresume.com/cover-letters/sales-and-marketing-executive-cover-letter/
67	I’ve acquired many essential skills necessary to perform as successful sales professional.	I’ve acquired many skills necessary to perform as a successful sales professional.	12	Rloc−	4,5|||	ArtOrDe	10,10|||a									https://www.thebalancecareers.com/sales-marketing-and-public-relations-cover-letters-2060166
68	I have proved track record in a sales environment and thrive to the challenge of making a sale.	I have a proven track record in a sales environment and thrive off the challenge of making a sale.	19	ArtOrDe	2,2|||a	Vform	2,3|||proven	Wci	11,12|||off							https://www.icover.org.uk/field-sales-executive-cover-letter-example/
69	I liked to work on my own initiative but I also have wider network of colleagues which is always nice to keep up contact with to boost your spirit on a bad selling day.	I like to work on my own initiative but I also have a wider network of colleagues which is always nice to keep in contact with to boost your spirits on a bad selling day.	35	Vt	1,2|||like	ArtOrDe	12,12|||a	Wci	22,23|||in	Nn	28,29|||spirits					https://www.icover.org.uk/field-sales-executive-cover-letter-example/
70	Aside from my degree, I have build upon my interest of this field in a number of ways.	Aside from my degree, I have built upon my interest in this field in a number of ways.	18	Vform	7,8|||built	Wci	11,12|||in									https://www.reed.co.uk/career-advice/graduate-cover-letter-template/
71	Further, I have also started a online analytics courses, which has given me much more rounded view on the subject. 	Further, I have also started an online analytics course, which has given me a much more rounded view on the subject. 	21	ArtOrDe	6,7|||an	Nn	9,10|||course	ArtOrDe	15,15|||a							https://www.reed.co.uk/career-advice/graduate-cover-letter-template/
72	Meeting deadlines have been a consistent part of my academic and working life and I have learned how to communicate to people in situations which require tact.	Meeting deadlines has been a consistent part of my academic and working life and I have learned how to communicate with people in situations which require tact.	27	SVA	2,3|||has	Wci	20,21|||with									https://www.grb.uk.com/careers-advice/graduate-cover-letter
73	My academic skills have given me the ability to communicate effectively on paper as well as throught presentations.	My academic skills have given me the ability to communicate effectively on paper as well as through presentations.	18	Mec	16,17|||through											https://www.grb.uk.com/careers-advice/graduate-cover-letter
74	I am an outgoing person who can talk to people at all level and have been complimented on my ability to listen to other people.	I am an outgoing person who can talk to people at all levels and have been complimented on my ability to listen to other people.	25	Nn	12,13|||levels											https://www.grb.uk.com/careers-advice/graduate-cover-letter
75	Take it opportunity and use the application letter to focus on how would you benefit the company.	Take this opportunity and use the application letter to focus on how you would benefit the company.	17	Pref	1,2|||this	WOinc	12,14|||you would									https://www.careerpointkenya.co.ke/2019/04/sample-application-letter-for-a-fresh-graduate/
76	Where possible, provide examples of the times when you demonstrated skills or abilities is relevant to the job you are applying to.	Where possible, provide examples of the times when you demonstrated skills or abilities that are relevant to the job you are applying for.	23	Ssub	14,14|||that	SVA	14,15|||are	Prep	22,23|||for							https://www.careerpointkenya.co.ke/2019/04/sample-application-letter-for-a-fresh-graduate/
77	A potential employers is more likely to read a letter is short and straight to the point.	A potential employer is more likely to read a letter that is short and straight to the point.	18	Nn	2,3|||employer	Ssub	10,10|||that									https://www.careerpointkenya.co.ke/2019/04/sample-application-letter-for-a-fresh-graduate/
78	Regarding of whether or not such knowledge is requiring for you to do your job, you may know all about the industry in which your company operates.	Regardless of whether or not such knowledge is required for you to do your job, you should know all about the industry in which your company operates.	27	Wci	0,1|||Regardless 	Vform	8,9|||required	Vm	17,18|||should							https://www.resume-now.com/cover-letter/examples/engineering
79	I help my father much as a child; he even taught me invoicing on the age 10.	I helped my father a lot as a child; he even taught me invoicing at the age of 10.	19	Vt	1,2|||helped	Wci	4,5|||a lot	Prep	13,14|||at	Prep	16,16|||of					https://www.indeed.com/career-advice/cover-letter-samples/secretary
80	I am well-versed in equiment rental jargon, and I have an in-depth understanding of the details of business.	I am well-versed in equipment rental jargon, and I have an in-depth understanding of the business.	16	Mec	4,5|||equipment 	Rloc−	16,18|||									https://www.indeed.com/career-advice/cover-letter-samples/secretaryy
81	The professional secretary cover litter focus on why you are a good match for the job.	The professional secretary cover letter focuses on why you are a good match for the job.	16	Wci	4,5|||letter	SVA	5,6|||focuses									https://www.best-job-interview.com/secretary-cover-letter.html
82	I am available for a interview at your earliest convenience, and feel an arranged meeting between us will be beneficial to all as that will allow me to explain in more detail how I can contribute to your organisation.	I am available for an interview at your earliest convenience, and feel that an arranged meeting between us will be beneficial to all as it will allow me to explain in more detail how I can contribute to your organisation.	40	ArtOrDe	4,5|||an	Ssub	13,13|||that	Pref	24,25|||it							https://www.dayjob.com/secretary-cover-letter-example-1277/
83	Obviously, the more experience you have as a secretary, the more consideration you will be given.	Obviously, the more experience you have as a secretary, the more consideration you will be given.	16													https://www.jobsearchjimmy.com/coverlettersamples/secretary-cover-letter.html
84	Make sure that to include any unique or special experience in the first paragraph of your letter in other to get more attention from the person who is reviewing those.	Make sure to include any unique or special experience in the first paragraph of your letter in order to get more attention from the person who is reviewing it.	29	Rloc−	2,3|||	Wci	18,19|||order	Pref	29,30|||it							https://www.jobsearchjimmy.com/coverlettersamples/executive-assistant-cover-letter.html
85	I know how important it was to find and keep outstanding people working to one organization.	I know how important it is to find and keep outstanding people working for one's organization.	16	Vt	5,6|||is	Wci	13,14|||for	Npos	14,15|||one 's							https://www.jobsearchjimmy.com/coverlettersamples/human-resources-cover-letter.html
86	In my former emplyment overseeing a crew has given me the most experience and satisfactory.	In my former employment overseeing a crew has given me the most experience and satisfaction.	15	Mec	3,4|||employment	Wci	14,15|||satisfaction									https://www.jobsearchjimmy.com/coverlettersamples/construction-cover-letter.html
87	You can't be on top of every situation but you can avoid most setbacks by anticipating and heading it off.	You can't be on top of every situation but you can avoid most setbacks by anticipating and heading them off.	20	Pref	19,20|||them											https://www.jobsearchjimmy.com/jobinterviewtips/
88	I have four summer of experience working as lifeguard and am well qualified for the job.	I have four summers of experience working as a lifeguard and am well qualified for the job.	17	Nn	3,4|||summers	ArtOrDe	8,8|||a									https://www.livecareer.com/cover-letter/examples/safety-security/lifeguard
89	I know I would like to be able to make a great addition to the pool staff inside Haven Hotel.	I know I would make a great addition to the pool staff at Haven Hotel.	15	Rloc−	4,9|||	Prep	17,18|||at									https://www.livecareer.com/cover-letter/examples/safety-security/lifeguardd
90	Are you applying for jobs as a lifeguard.	Are you applying for jobs as a lifeguard?	8	Mec	8,9|||?											https://www.thebalancecareers.com/lifeguard-resume-example-2063271
91	Greet parent at the end of each day, discussing children’s behavior and accomplishments.	Greet parents at the end of each day, discussing children’s behavior and accomplishments.	13	Nn	1,2|||parents											https://www.thebalancecareers.com/lifeguard-resume-example-2063271
92	Though there may be many lifeguard who seek to fill this position, I feel I was best one for the position as I have the experience, the strong work ethnic, and do not take this role lightly.	Though there may be many lifeguards who seek to fill this position, I feel I am the best one for the position as I have the experience, the strong work ethic, and do not take this role lightly.	38	Nn	5,6|||lifeguards	Vt	16,17|||am	ArtOrDe	17,17|||the	Wci	31,32|||ethic					https://www.greatsampleresume.com/cover-letters/lifeguard-cover-letter/
93	Lifeguarding and swim instructing have been a integral part of my life from an early age, and I am proud to have earned more than five years’ experience in this field. 	Lifeguarding and swim instructing have been an integral part of my life from an early age, and I am proud to have earned more than five years’ experience in this field. 	31	ArtOrDe	6,7|||an											https://blogs.ubc.ca/mackenzielott/2018/01/02/lifeguard-resume/
94	Many resorts, hotels, private and public beaches are constantly looking for lifeguards who can keep his or her guests safe and secure.	Many resorts, hotels, private and public beaches are constantly looking for lifeguards who can keep their guests safe and secure.	20	Pref	17,20|||their											https://www.resumeok.com/lifeguard-resume-sample/
95	In last 2 years, I work as a lifeguard on the beaches of Pattaya, Thailand.	In the last 2 years, I worked as a lifeguard on the beaches of Pattaya, Thailand.	16	ArtOrDe	1,1|||the	Vt	6,7|||worked									https://www.resumeok.com/lifeguard-resume-sample/
96	Is being good swimer enough to be considering for job?	Is being a good swimmer enough to be considered for the job?	12	ArtOrDe	2,2|||a	Mec	3,4|||swimmer	Vform	7,8|||considered	ArtOrDe	9,9|||the					https://www.resumeok.com/lifeguard-resume-sample/
