Industry	Function	Personality	Language	Qualification (academic)	Qualifiaction (professional)	Software	Programing Language	Soft Skill	Hard Skill	xxx	salary range min	salary range max
Research / Survey	Admin & HR > Compensation & Benefits	hardworking		Non-Degree Tertiary	Big_4	Docker	C/C++		FireEye		14,000	13,999
Freight Forwarding / Delivery / Shipping	Admin & HR > HR Director / Manager	Loyal		Post-secondary	BMS	Drupal	C#		formal secretarial		17,000	16,999
Clothing / Garment / Textile	Admin & HR > HR Supporting Staff	Mature		Postgraduate	CAMLP	Eclipse	Cassandra		Fortinet		20,000	19,999
Banking	Admin & HR > Others	meet tight deadline		Primary	CAMS	ERP	COBOL		FP&A		25,000	24,999
Trading and Distribution	Admin & HR > Personal / Executive Assistant	meet_deadlines		School Certificate	CCDP	excel	Crystal_Report		FPGA design		30,000	29,999
Electronics / Electrical Equipment	Admin & HR > Receptionist	multi_tasking		Science	CCIE	EXCEL	CSS3		fund_accounting		35,000	34,999
Tourism / Travel Agency	Admin & HR > Recruitment / Executive Search	multiple tasks		Tertiary education	CCNA	Excel	DB2		HK Employment Ordinance		45,000	44,999
Architecture / Building / Construction	Admin & HR > Secretary	organized			CCNA_CCNP	Excel_and_PowerPoint	Django		interpretation		55,000	54,999
Food and Beverage	Admin & HR > Training & Development	passionate			CCNP	GIT	Docker		Juniper		70,000	69,999
Property Management / Consultancy	Banking / Finance	proactive			CCSA	Google Cloud	Drupal		machine_learning		90,000	89,999
Education	Banking / Finance > Analyst	problem-solver			CCSE	Hadoop	Eclipse		Office software		120,000	119,999
Public Utilities	Banking / Finance > Asset Management	responsible			CEH	Hive	Express_js		Palo_Alto		160,000	159,999
Engineering - Electrical / Electronic / Mechanical	Banking / Finance > Corporate Banking	self-motivated			CEng	Hyper-V	GIT		people management		Hidden	160,000+
Media / Publishing / Printing	Banking / Finance > Corporate Finance	target-driven			Certified_Public	IBM PowerVM	Hadoop		POS		Not Provided	850+
Insurance / Pension Funding	Banking / Finance > Credit Analysis / Approval	Team player			CFA	IBM Spectrum Protect	Hibernate		programming_language			Hidden
Jewellery / Gems / Watches	Banking / Finance > Credit Collection	teamwork_spirit			CFA_FRM	IBM WebSphere	HTML5		Project_Management			Not Provided
Advertising / Public Relations / Marketing Services	Banking / Finance > Dealing & Trading	under pressure			CFA_qualification	Illustrator	Ionic		risk controls			
Chemical / Plastic / Paper / Petrochemical	Banking / Finance > Equities / Capital Markets	Well verse			CFMP	JBoss	JAVA		risk_management			
Security / Fire / Electronic Access Controls	Banking / Finance > Financial Services	well-organised			CFP	Kafka	Java		SAN			
Interior Design / Graphic Design	Banking / Finance > Fund Management	well-organized			Chartered	Kubernetes	Java_EE		Scrum			
Entertainment / Recreation	Banking / Finance > Investment	willing to learn			CIA	Maya	Javascript		SDLC			
Engineering - Building, Civil, Construction / Quantity Survey	Banking / Finance > Loan	Willingness to learn			CICPA	Microsoft Dynamics NAV	JavaScript		securities_dealing			
Security Escort	Banking / Finance > Mortgage	withstand stress			CIMA	Microsoft office	JBoss		server_administration			
Athletics / Sports	Banking / Finance > Order Processing & Operation / Settlement	withstand work pressure			CIOB	Microsoft Word	JQuery		SLAM			
Environmental Science	Banking / Finance > Others	work collaboratively			CIPS	Microsoft_Azure	JSON		supervisory skills			
Charity / Social Services / Non-Profit Organisation	Banking / Finance > Private Banking	work independently			CISA	Microsoft_Office	JSP		System Acceptance Test			
Performance / Musical / Artistic	Banking / Finance > Project Finance	work_overtime			CISM	Microsoft_Offices	Kotlin		test_automation			
Toys	Banking / Finance > Retail Banking	上進心			CISSP	MS_Word	Kubernetes		translation			
Mixed Industry Group	Banking / Finance > Risk Management	熱愛學習			CPA	MySQL	Linux		troubleshooting			
Petroleum	Banking / Finance > Treasury	真誠可靠			CPA_ACCA	NetApp	Matlab		typing_skill			
Legal Services	Banking / Finance > Wealth Management	責任感			CPA_Australia	Office_365	Maven		typing_speed			
Motor Vehicles	Beauty Care / Health				CPA_or_CFA	Oracle VM	MongoDB		valuation			
Energy / Power / Water / Oil & Gas / Waste Management	Beauty Care / Health > Athletics / Fitness / Sports & Recreation				CPAA	Outlook	MSSQL					
Laboratory	Beauty Care / Health > Beautician				CPWP	PADS	MVC					
Mass Transportation	Beauty Care / Health > Nutritionist				CREST	Photoshop	MVVM					
Civil Services (Government, Armed Forces)	Beauty Care / Health > Others				CRISC	Photoshop_and_Illustrator	MySQL					
Packaging	Beauty Care / Health > Therapist				CSA	Postgres	NET					
	Building & Construction				CSX	PowerBI	Node_js					
	Building & Construction > Architectural Services				designation	PowerPoint	node_js					
	Building & Construction > Building / Construction / QS				ETL	PPT	Nodejs					
	Building & Construction > Civil / Structural				finalist	Qlik	NodeJS					
	Building & Construction > Others				finalist_of_HKICPA	Qlikview	NoSQL					
	Design				FLMI	saleforce	Objective_C					
	Design > Fashion				FRM	SharePoint	OpenCV					
	Design > Graphics				FRM_or_CFA	Sketch up	Opera					
	Design > Industrial / Product				GIAC	Snowflake	Oracle_Database					
	Design > Interior				GPEN	spreadsheet	Pandas					
	Design > Multi-media				GXPN	Tableau	Perl					
	Design > Others				HKCPA	Unity	PHP					
	Design > Visual Merchandising				HKIA	Veeam	Pixi					
	Design > Web Designer				HKIB	Veritas	PowerBI					
	E-commerce				HKICPA	VMware	PowerShell					
	E-commerce > Business Development				HKICPA_ACCA	VMWare	Programming					
	E-commerce > Marketing - Brand / Product Management				HKICPA_or_ACCA	vSphere	programming_language					
	E-commerce > Others				HKICPA_or_equivalent	WebLogic	Python					
	E-commerce > Product Management / Business Analyst				HKICS	Word	Qlik					
	E-commerce > Software Development				HKIE	WordPress	QlikView					
	E-commerce > Supply Chain				HKIFM		RDBMS					
	Education				HKIH		React					
	Education > Lecturer / Professor				HKIS		React_js					
	Education > Librarian				HKIS_RICS		React_JS					
	Education > Others				HPE		React_Native					
	Education > Teacher				ICSA		ReactJS					
	Education > Tutor / Instructor				ICSA_HKICS		Redux					
	Engineering				IIA		relational_database					
	Engineering > Chemical				Intune		REST					
	Engineering > Draftsman				ISO 14001		REST_API					
	Engineering > Electrical / Electronics				ISO27001		Ruby					
	Engineering > Engineering Project Management				ISO9001		SASS					
	Engineering > Manufacturing & Production				ITIL		Scala					
	Engineering > Mechanical				JIRA		Scripting					
	Engineering > Others				JNCIP		scripting					
	Engineering > Telecommunication / Wireless / Radio				Law		scripting_languages					
	Hospitality / F & B				LOMA		Shell					
	Hospitality / F & B > Food & Beverage				LPI		shell					
	Hospitality / F & B > Hospitality / Hotel Services				MBA		shell_script					
	Hospitality / F & B > Integrated Resort / Casino				MCDST		shell_scripting					
	Hospitality / F & B > Others				MCIH		shell_scripts					
	Hospitality / F & B > Tourism / Travel Agency				MCITP		Spark					
	Information Technology (IT)				MCP		Spring					
	Information Technology (IT) > Application Specialist - Network				MCSA		Spring_Boot					
	Information Technology (IT) > Application Specialist - Software				MCSE		Spring_Framework					
	Information Technology (IT) > Data Scientist				MCTS		Spring_framework					
	Information Technology (IT) > DBA				member_of_HKICPA		SQL					
	Information Technology (IT) > Hardware				Member_of_HKICPA		SQL_programming					
	Information Technology (IT) > IT - Webmaster / SEO				membership		SQL_Server					
	Information Technology (IT) > IT Auditing				MHKIE		Struts					
	Information Technology (IT) > IT Management				MHKIH		Swift					
	Information Technology (IT) > IT Project Management / Team Lead				MHKIS		Tableau					
	Information Technology (IT) > Mobile / Wireless Communications				MICE		Tensorflow					
	Information Technology (IT) > Network & System				MRICS		Tomcat					
	Information Technology (IT) > Others				OCP		tools_like					
	Information Technology (IT) > Product Management  / Business Analyst				OSCP		TypeScript					
	Information Technology (IT) > Security				PMP		Unix					
	Information Technology (IT) > Software Development				Prince2		VB					
	Information Technology (IT) > Support				professional_accountancy		VB_NET					
	Information Technology (IT) > Technical / Functional Consulting				professional_bodies		Verilog					
	Information Technology (IT) > Technical Writing				professional_body		Vue_js					
	Information Technology (IT) > Testing / QA				professional_certifications		WebSocket					
	Information Technology (IT) > UI/UX Designer				professional_qualification		XML					
	Insurance				Professional_qualification							
	Insurance > Actuarial				professional_qualifications							
	Insurance > Claims Officer				qualification							
	Insurance > Insurance Agent / Broker				qualified							
	Insurance > Others				qualified_accountant							
	Insurance > Underwriter				Qualified_Accountant							
	Management				Qualified_accountant							
	Management > General Management				recognized_professional							
	Management > Management Trainee				related_disciplinesQualified							
	Management > Top Executives (CEO, CFO, CTO, GM, MD etc.)				RHCE							
	Manufacturing				RHCSA							
	Manufacturing > Garment/ Textile				RICS							
	Manufacturing > General / Production Workers				RWM							
	Manufacturing > Jewelry				Scrum_Master							
	Manufacturing > Manufacturing Management				SFC unconditional Responsible Office license for Type 1 RA							
	Manufacturing > Others				Six_Sigma Black Belt							
	Manufacturing > Printing				SOA							
	Manufacturing > Product Development / Management				STEP							
	Manufacturing > Production Planning / Control				student_member							
	Manufacturing > Quality Assurance, Control & Testing / ISO				Student_member							
	Marketing / Public Relations				TEFL							
	Marketing / Public Relations > Digital Marketing				TESOL							
	Marketing / Public Relations > Management				TMA							
	Marketing / Public Relations > Marketing - Brand / Product Management				US_GAAP							
	Marketing / Public Relations > Marketing - Direct Marketing				VCP							
	Marketing / Public Relations > Marketing - General / Support											
	Marketing / Public Relations > Marketing - Market Research											
	Marketing / Public Relations > Marketing - Marketing Communication											
	Marketing / Public Relations > Others											
	Marketing / Public Relations > Public Relations - Copy-writing											
	Marketing / Public Relations > Public Relations - Event Management											
	Marketing / Public Relations > Public Relations - General / Support											
	Media & Advertising											
	Media & Advertising > Account Servicing											
	Media & Advertising > Broadcasting - TV / Radio											
	Media & Advertising > Creative / Design											
	Media & Advertising > Editorial / Journalism											
	Media & Advertising > Media Buying											
	Media & Advertising > Others											
	Media & Advertising > Photography / Video											
	Media & Advertising > Print Media											
	Media & Advertising > Production											
	Media & Advertising > Strategic Planning											
	Medical Services											
	Medical Services > Doctor / Practitioner / Surgeon											
	Medical Services > Medical Services Technician											
	Medical Services > Nursing											
	Medical Services > Others											
	Medical Services > Pharmaceutical											
	Medical Services > Specialist											
	Medical Services > Therapist											
	Merchandising & Purchasing											
	Merchandising & Purchasing > Electronics											
	Merchandising & Purchasing > Fabrics											
	Merchandising & Purchasing > Footwear											
	Merchandising & Purchasing > Furniture											
	Merchandising & Purchasing > Handbag											
	Merchandising & Purchasing > Home Appliances											
	Merchandising & Purchasing > Others											
	Merchandising & Purchasing > Procurement / Purchasing / Sourcing											
	Merchandising & Purchasing > PVC											
	Merchandising & Purchasing > Stationery											
	Merchandising & Purchasing > Sundries											
	Merchandising & Purchasing > Sweater											
	Merchandising & Purchasing > Textiles											
	Merchandising & Purchasing > Toy											
	Merchandising & Purchasing > Watch											
	Merchandising & Purchasing > Woven / Knit											
	Others											
	Others > Agriculture / Forestry / Fishing											
	Others > Entertainment - Artists / Singers / Musicians											
	Others > Junior Executive											
	Others > Others											
	Others > Security / Safety Control											
	Others > Student / Fresh Graduate / No Experience											
	Others > Technician											
	Others > Trading											
	Professional Services											
	Professional Services > Business Analysis / Data Analysis											
	Professional Services > Business Consultancy											
	Professional Services > Company Secretary											
	Professional Services > Legal & Compliance											
	Professional Services > Translation											
	Property / Real Estate											
	Property / Real Estate > Others											
	Property / Real Estate > Property Consultancy											
	Property / Real Estate > Property Management											
	Public / Civil											
	Public / Civil > Civil Services											
	Public / Civil > Counseling											
	Public / Civil > Others											
	Public / Civil > Social Services - Community / Non-profit Organization											
	Public / Civil > Utilities											
	Sales, CS & Business Devpt											
	Sales, CS & Business Devpt > Account Servicing											
	Sales, CS & Business Devpt > Business Development											
	Sales, CS & Business Devpt > Call Centre											
	Sales, CS & Business Devpt > Channel / Distribution											
	Sales, CS & Business Devpt > Customer Service - Manager											
	Sales, CS & Business Devpt > Customer Service - Supervisor/Officer											
	Sales, CS & Business Devpt > Direct Sales											
	Sales, CS & Business Devpt > Others											
	Sales, CS & Business Devpt > Retail Sales											
	Sales, CS & Business Devpt > Sales - Real Estate											
	Sales, CS & Business Devpt > Sales - Sales Management											
	Sales, CS & Business Devpt > Sales Administration											
	Sales, CS & Business Devpt > Technical Sales / Sales Engineer											
	Sales, CS & Business Devpt > Tele-sales (Telemarketing)											
	Sales, CS & Business Devpt > Wholesale											
	Sciences, Lab, R&D											
	Sciences, Lab, R&D > Chemical											
	Sciences, Lab, R&D > Energy / Natural Resources / Oil & Gas											
	Sciences, Lab, R&D > Environmental Science / Waste Management											
	Sciences, Lab, R&D > Food Science											
	Sciences, Lab, R&D > Laboratory											
	Sciences, Lab, R&D > Life Science											
	Sciences, Lab, R&D > Others											
	Sciences, Lab, R&D > Research & Development (R&D)											
	Transportation & Logistics											
	Transportation & Logistics > Aerospace											
	Transportation & Logistics > Aviation Services											
	Transportation & Logistics > Documentary Credit / Bills Processing											
	Transportation & Logistics > Freight Forwarding											
	Transportation & Logistics > Fulfillment											
	Transportation & Logistics > Inventory / Warehousing											
	Transportation & Logistics > Maritime - General											
	Transportation & Logistics > Others											
	Transportation & Logistics > Private Transportation											
	Transportation & Logistics > Public Transportation											
	Transportation & Logistics > Shipping											
	Transportation & Logistics > Supply Chain											
